number	disfunctionalPercentage	disabledPercentage	incapacitatedPercentage	firstPickAbility	overallSecondPickAbility	siegeAbility	siegeConsistency	challengePercentage	scalePercentage	RScoreDrivingAbility	avgDrivingAbility	RScoreDefense	avgDefense	RScoreBallControl	avgBallControl	RScoreSpeed	avgSpeed	RScoreAgility	avgAgility	RScoreTorque	avgTorque	autoAbility	sdAutoAbility	highShotAccuracyAuto	avgLowShotsTele	avgHighShotsTele	sdHighShotsTele	highShotAccuracyTele	teleopShotAbility	crossingsSuccessRateForDefenseTele	avgTimeForDefenseCrossTele	crossingsSuccessRateForDefenseAuto	
5655	0.625	0.0	0.625	75.2089372086	-2.14230271522	0.625	0.125	0.125	0.0	-0.982938810345	0.8375	-0.89738848726	1.75	-1.01399347891	1.375	-1.80310727633	0.875	-1.67529148116	1.0	-1.98951703339	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.0, 'cdf': 0.0, 'rw': 0.0, 'lb': 0.0, 'mt': 0.0, 'sp': 0.0, 'db': 0.0, 'pc': 0.0, 'rp': 0.0}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
256	0.5	0.0	0.5	85.6767195511	-1.15105986127	3.75	0.5	0.375	0.125	-0.933813346476	0.865228298142	-1.96378117239	1.5	-1.01399347891	1.375	-1.40639612615	1.125	-1.24428234052	1.25	-1.54385283835	1.125	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.25	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.721, 'cdf': 0.08785714285714286, 'rw': 0.14771428571428571, 'lb': 0.0, 'mt': 0.0, 'sp': 0.6316, 'db': 0.0, 'pc': 0.0, 'rp': 0.666}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
3303	0.25	0.0	0.25	99.2427481309	5.59239757752	2.5	0.5	0.5	0.0	1.67422046858	2.33730272743	0.169004197866	2.0	0.667878977289	2.375	2.75907095072	3.75	1.98828621423	3.125	1.13013233189	2.625	0.0	0.0	0.0	2.375	0.0	0.0	0.0	4.75	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.47922222222222227, 'cdf': 3.1917500000000003, 'rw': 1.1146999999999998, 'lb': 0.4731875, 'mt': 1.3683333333333334, 'sp': 0.0, 'db': 0.0, 'pc': 0.36450000000000005, 'rp': 0.7236071428571428}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
254	0.0	0.0	0.0	153.304181649	21.3831268005	4.44444444444	0.888888888889	0.888888888889	0.0	2.71027616668	2.92209234621	1.11690880687	2.22222222222	2.65342284919	3.55555555556	3.1557821009	4.0	2.73057973422	3.55555555556	2.9870664779	3.66666666667	8.88888888889	7.3702773119	0.444444444444	0.0	7.66666666667	2.26077666104	0.555555555556	38.3333333333	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.3505, 'cdf': 2.1190714285714285, 'rw': 0.1947142857142857, 'lb': 0.6699722222222222, 'mt': 0.3873333333333333, 'sp': 0.0, 'db': 0.0, 'pc': 0.76425, 'rp': 0.8481190476190477}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
5728	0.0	0.0	0.0	82.0309500475	-2.48860274375	1.25	0.25	0.25	0.0	-0.523380093136	1.09689258627	0.169004197866	2.0	0.24741086324	2.125	-0.216262675618	1.875	-0.813273199887	1.5	-0.65252444827	1.625	0.25	0.661437827766	0.0	0.875	0.125	0.330718913883	0.125	2.375	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.7925, 'cdf': 0.0, 'rw': 0.8652857142857143, 'lb': 0.2875, 'mt': 2.80375, 'sp': 0.0, 'db': 0.0, 'pc': 0.0, 'rp': 0.0}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
2135	0.375	0.0	0.375	88.564835952	-0.11756372347	3.75	0.75	0.75	0.0	-0.347983904631	1.19589292997	-1.43058482982	1.625	-0.593525364859	1.625	-0.612973825796	1.625	-0.59776862957	1.625	-0.206860253229	1.875	0.0	0.0	0.0	0.875	0.0	0.0	0.0	1.75	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.333, 'cdf': 0.4932, 'rw': 0.876, 'lb': 0.07275, 'mt': 1.2936666666666665, 'sp': 0.0, 'db': 0.2635, 'pc': 0.0, 'rp': 0.0}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
972	0.0	0.0	0.0	87.1005453024	2.6623729814	1.875	0.375	0.375	0.0	0.769256214435	1.8265061533	0.169004197866	2.0	0.24741086324	2.125	0.775515199828	2.5	0.264249651698	2.125	0.907300234373	2.5	0.25	0.661437827766	0.0	1.5	0.0	0.0	0.0	3.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.266, 'cdf': 0.6925, 'rw': 0.6802666666666667, 'lb': 0.0, 'mt': 0.19725, 'sp': 0.0, 'db': 0.0, 'pc': 0.0, 'rp': 1.289125}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
971	0.0	0.0	0.0	140.801764656	24.3309088349	3.75	0.75	0.75	0.0	2.80838916492	2.97747108979	0.169004197866	2.0	2.98045360456	3.75	2.56071537563	3.625	2.8503044955	3.625	2.2442928195	3.25	12.5	6.61437827766	0.375	0.125	5.5	1.32287565553	0.25	27.75	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.19966666666666666, 'cdf': 0.0, 'rw': 0.1924, 'lb': 0.430875, 'mt': 0.3935555555555555, 'sp': 0.0, 'db': 0.0, 'pc': 1.0966, 'rp': 0.51535}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
2489	0.0	0.0	0.0	87.5142256044	2.28333396966	3.75	0.75	0.75	0.0	-0.0504018384354	1.36385967478	0.169004197866	2.0	0.0371768062149	2.0	0.18044847456	2.125	0.264249651698	2.125	0.0159718442915	2.0	1.0	1.0	0.0	0.0	0.625	0.695970545354	0.125	3.125	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 4.4399999999999995, 'cdf': 0.35933333333333334, 'rw': 1.327, 'lb': 0.0, 'mt': 0.0, 'sp': 0.0, 'db': 0.0, 'pc': 0.0, 'rp': 0.0}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
1967	0.125	0.0	0.125	90.8396682109	2.87968863405	6.25	0.75	0.5	0.25	-0.273242562105	1.23807981364	-0.89738848726	1.75	-1.01399347891	1.375	-0.414618250707	1.75	-0.59776862957	1.625	-1.09818864331	1.375	0.25	0.661437827766	0.0	0.5	0.0	0.0	0.0	1.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.6493333333333333, 'cdf': 0.0, 'rw': 0.5917999999999999, 'lb': 0.285375, 'mt': 0.0, 'sp': 0.0, 'db': 0.0, 'pc': 1.15375, 'rp': 0.1698}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
5700	0.125	0.0	0.125	92.3619877201	-0.373942176957	4.375	0.625	0.5	0.125	-0.762732933647	0.96179265234	-1.43058482982	1.625	-1.01399347891	1.375	-0.811329400886	1.5	-0.813273199887	1.5	0.0159718442915	2.0	0.75	0.968245836552	0.0	0.125	0.0	0.0	0.0	0.25	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.5345, 'cdf': 0.4681666666666667, 'rw': 0.0, 'lb': 1.3573125, 'mt': 0.6808, 'sp': 0.9115, 'db': 0.0, 'pc': 1.0550000000000002, 'rp': 0.0}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
4904	0.111111111111	0.0	0.111111111111	89.2233472148	0.408638709348	2.22222222222	0.444444444444	0.444444444444	0.0	0.197284246013	1.50366321157	0.169004197866	2.0	0.410926240925	2.22222222222	-0.0179071005289	2.0	0.0487450813812	2.0	0.0159718442915	2.0	0.0	0.0	0.0	0.444444444444	0.555555555556	0.684934889219	0.222222222222	3.66666666667	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.0, 'cdf': 0.0, 'rw': 0.8306428571428571, 'lb': 0.19083333333333333, 'mt': 0.557, 'sp': 1.2722857142857145, 'db': 0.0, 'pc': 0.0, 'rp': 0.5353999999999999}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
3256	0.25	0.0	0.25	103.286516318	-0.516666897265	2.5	0.5	0.5	0.0	-0.0355626921367	1.37223545875	-0.89738848726	1.75	-0.17305725081	1.875	-0.811329400886	1.5	-0.166759488936	1.875	0.684468136853	2.375	0.25	0.661437827766	0.0	0.0	2.875	1.45236875483	0.5	14.375	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.0, 'cdf': 0.8705, 'rw': 0.15166666666666667, 'lb': 1.4376041666666666, 'mt': 0.0, 'sp': 0.0, 'db': 0.0, 'pc': 0.0, 'rp': 0.0}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
5924	0.125	0.0	0.125	100.693758333	3.6336472354	4.375	0.875	0.875	0.0	0.463509906817	1.65393119714	0.169004197866	2.0	0.24741086324	2.125	0.775515199828	2.5	0.910763362649	2.5	0.461636039332	2.25	0.25	0.661437827766	0.0	1.75	0.0	0.0	0.0	3.5	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.0, 'cdf': 1.2735, 'rw': 0.6887500000000001, 'lb': 0.4541875, 'mt': 0.0, 'sp': 0.5468, 'db': 0.0, 'pc': 2.602, 'rp': 0.9602142857142857}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
6039	0.0	0.0	0.0	91.4929355783	-2.19301781284	3.125	0.625	0.625	0.0	-0.858791302008	0.907573620758	0.169004197866	2.0	-0.383291307834	1.75	-0.612973825796	1.625	-0.59776862957	1.625	0.238803941812	2.125	0.5	0.866025403784	0.0	0.0	0.0	0.0	0.0	0.0	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 1.0545, 'cdf': 0.0, 'rw': 0.19999999999999998, 'lb': 0.37474999999999997, 'mt': 0.81575, 'sp': 1.1165833333333335, 'db': 2.719, 'pc': 0.0, 'rp': 0.63175}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
2035	0.0	0.0	0.0	100.040534125	3.4226344303	4.375	0.875	0.875	0.0	0.207348740915	1.50934399895	0.169004197866	2.0	-0.383291307834	1.75	0.18044847456	2.125	0.0487450813812	2.0	0.461636039332	2.25	0.75	0.968245836552	0.0	0.125	0.375	0.695970545354	0.125	2.125	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.26033333333333336, 'cdf': 0.6391666666666667, 'rw': 0.2976, 'lb': 0.7926875, 'mt': 0.43766666666666665, 'sp': 0.9204000000000001, 'db': 0.0, 'pc': 0.0, 'rp': 0.8304}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
5940	0.0	0.0	0.0	107.677562417	7.82770202103	4.375	0.875	0.875	0.0	1.4289814954	2.1988804342	0.169004197866	2.0	1.29858114836	2.75	1.76729307527	3.125	0.910763362649	2.5	1.13013233189	2.625	0.0	0.0	0.0	4.25	0.0	0.0	0.0	8.5	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.9339999999999999, 'cdf': 0.21316666666666664, 'rw': 0.6392142857142857, 'lb': 0.6990000000000001, 'mt': 0.31525000000000003, 'sp': 0.2786, 'db': 0.0, 'pc': 0.0, 'rp': 0.5044166666666666}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
1678	0.0	0.0	0.0	123.332196016	10.6393443798	3.75	0.75	0.75	0.0	1.46170603065	2.21735141846	0.169004197866	2.0	1.29858114836	2.75	1.76729307527	3.125	1.5572770736	2.875	2.02146072197	3.125	3.75	4.84122918276	0.375	0.0	4.5	3.4278273002	0.25	22.5	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	{'rt': 0.7311875, 'cdf': 1.4342857142857144, 'rw': 0.5543333333333332, 'lb': 0.5735, 'mt': 0.62775, 'sp': 0.0, 'db': 0.0, 'pc': 1.1145, 'rp': 0.6223749999999999}	{'rt': None, 'pc': None, 'cdf': None, 'rw': None, 'rp': None, 'mt': None, 'lb': None, 'sp': None, 'db': None}	
